Date,Price,Open,High,Low,Vol.,Change ,Change p,Constant,Returns
3-Jul,"9,233.80","8,983.66","9,361.40","8,871.20",4.91B,2.76%,0.0276,,2.76
3-Jun,"8,985.44","8,851.45","9,352.77","8,851.45",248.18M,0.00%,0,,0
3-Jun,"8,985.44","8,851.45","9,352.77","8,851.45",4.99B,1.53%,0.0153,,1.53
3-May,"8,850.26","8,478.48","8,868.33","8,340.23",4.87B,4.37%,0.0437,,4.37
3-Apr,"8,480.09","7,992.83","8,559.77","7,979.69",5.13B,6.11%,0.0611,,6.11
3-Mar,"7,992.13","7,890.24","8,522.18","7,416.64",281.79M,0.00%,0,,0
3-Mar,"7,992.13","7,890.24","8,522.18","7,416.64",5.62B,1.28%,0.0128,,1.28
3-Feb,"7,891.08","8,053.74","8,152.53","7,628.99",245.44M,0.00%,0,,0
3-Feb,"7,891.08","8,053.74","8,152.53","7,628.99",4.42B,-2.02%,-0.0202,,-2.02
3-Jan,"8,053.81","8,342.38","8,869.29","7,917.16",273.05M,0.00%,0,,0
3-Jan,"8,053.81","8,342.38","8,869.29","7,917.16",5.43B,-3.45%,-0.0345,,-3.45
2-Dec,"8,341.63","8,902.95","9,043.37","8,242.91",228.46M,0.00%,0,,0
2-Dec,"8,341.63","8,902.95","9,043.37","8,242.91",4.61B,-6.23%,-0.0623,,-6.23
2-Nov,"8,896.09","8,395.64","8,950.33","8,298.68",5.34B,5.94%,0.0594,,5.94
2-Oct,"8,397.03","7,593.04","8,558.63","7,197.49",7.50B,10.60%,0.106,,10.6
2-Sep,"7,591.93","8,659.27","8,726.90","7,460.78",298.76M,0.00%,0,,0
2-Sep,"7,591.93","8,659.27","8,726.90","7,460.78",5.60B,-12.37%,-0.1237,,-12.37
2-Aug,"8,663.50","8,732.58","9,077.01","8,030.82",5.59B,-0.84%,-0.0084,,-0.84
2-Jul,"8,736.59","9,239.25","9,410.38","7,532.66",7.66B,-5.48%,-0.0548,,-5.48
2-Jun,"9,243.26","9,923.94","9,986.49","8,926.57",305.77M,0.00%,0,,0
2-Jun,"9,243.26","9,923.94","9,986.49","8,926.57",5.80B,-6.87%,-0.0687,,-6.87
2-May,"9,925.25","9,944.90","10,353.43","9,802.23",4.80B,-0.21%,-0.0021,,-0.21
2-Apr,"9,946.22","10,402.07","10,402.07","9,811.57",5.11B,-4.40%,-0.044,,-4.4
2-Mar,"10,403.94","10,111.04","10,673.10","10,111.04",4.56B,2.95%,0.0295,,2.95
2-Feb,"10,106.13","9,923.04","10,255.24","9,580.32",4.65B,1.88%,0.0188,,1.88
2-Jan,"9,920.00","10,021.71","10,300.15","9,529.46",248.94M,0.00%,0,,0
2-Jan,"9,920.00","10,021.71","10,300.15","9,529.46",4.96B,-1.01%,-0.0101,,-1.01
1-Dec,"10,021.57","9,848.93","10,184.45","9,703.90",222.48M,0.00%,0,,0
1-Dec,"10,021.50","9,848.93","10,184.45","9,703.90",4.27B,1.73%,0.0173,,1.73
1-Nov,"9,851.56","9,087.45","9,992.79","9,014.46",4.66B,8.56%,0.0856,,8.56
